Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_DIRECT	GO:0006412~translation	18	5.863192182410423	5.4884621173942224E-5	Q9VJ38, P62909, P50882, P46791, Q7ZWJ4, P34519, P46782, Q9FY65, B4PEU8, P62083, Q7PQV7, P62282, Q8VEM8, P36241, Q5E973, Q4R7Y2, O16797, Q9P2E9	282	36	1536	2.723404255319149	0.06620456677257225	0.0684960072250799	0.0684960072250799
GOTERM_BP_DIRECT	GO:0008152~metabolic process	16	5.211726384364821	8.260441577699788E-4	Q54K67, P29401, P53596, B2RQC6, P91917, P53703, Q96GR2, P50136, Q99315, Q7LHG5, Q8JZK9, Q91V92, Q9JHR7, O62742, Q99KI0, Q9Z110	282	36	1536	2.42080378250591	0.6434672326284836	0.5154515544484668	0.5154515544484668
GOTERM_BP_DIRECT	GO:0006099~tricarboxylic acid cycle	8	2.6058631921824107	0.0021868725604634173	Q9VWH4, P53596, P04636, Q01205, Q99KI0, Q94517, O17214, Q17GM7	282	12	1536	3.631205673758865	0.934924395456122	0.9097389851527816	0.9097389851527816
GOTERM_BP_DIRECT	GO:0055114~oxidation-reduction process	21	6.840390879478828	0.0032215910017457236	P51660, Q61941, Q92626, Q9V774, Q9V3P0, Q05762, Q9NZC7, P50136, P13697, A0JPQ8, Q2KIG5, P20108, Q91VD9, Q9QXN4, Q9NZ01, P0C2X9, Q5E947, Q9Z110, Q68FU3, Q9C8L4, Q91W43	282	60	1536	1.9063829787234041	0.9821729050326898	0.9996216816190548	0.9996216816190548
GOTERM_BP_DIRECT	GO:0001649~osteoblast differentiation	8	2.6058631921824107	0.004004894557768649	P51660, P62282, O75643, Q9NZC7, P04040, O75165, Q5R874, Q9P2E9	282	13	1536	3.351882160392799	0.9933167017216927	0.9996216816190548	0.9996216816190548
GOTERM_BP_DIRECT	GO:0051603~proteolysis involved in cellular protein catabolic process	6	1.9543973941368076	0.006855103858292796	Q9JHW0, Q4R4T8, Q9JHR7, Q9R1P0, Q9Z2U1, Q95029	282	8	1536	4.085106382978724	0.9998130421944821	1.0	1.0
GOTERM_BP_DIRECT	GO:0002181~cytoplasmic translation	5	1.6286644951140066	0.012092237864610191	P50882, P47826, P36241, Q9UET6, O16797	282	6	1536	4.539007092198582	0.9999997452792032	1.0	1.0
GOTERM_BP_DIRECT	GO:0015074~DNA integration	6	1.9543973941368076	0.013139513485539978	Q99315, P0CT39, P10272, Q7LHG5, Q6R2W3, P0CT43	282	9	1536	3.631205673758865	0.9999999322063656	1.0	1.0
GOTERM_BP_DIRECT	GO:0045454~cell redox homeostasis	6	1.9543973941368076	0.013139513485539978	P20108, Q61941, P54399, Q9V3P0, Q5E947, O14530	282	9	1536	3.631205673758865	0.9999999322063656	1.0	1.0
GOTERM_BP_DIRECT	GO:0006457~protein folding	9	2.9315960912052117	0.025601851998322902	Q6EE31, P54399, Q7SF72, Q9CQN1, P52013, P50991, Q10147, Q9D868, Q4R6V2	282	21	1536	2.3343465045592704	0.9999999999999912	1.0	1.0
