Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
UP_KW_MOLECULAR_FUNCTION	KW-0689~Ribosomal protein	91	11.446540880503145	7.159196255309091E-62	P35979, Q56FH2, P46791, Q4GX87, O96647, Q7ZUH5, Q9BMX5, P62083, B0WN96, Q95V31, Q4GXH6, Q962R1, Q5R938, Q95V39, P22451, A7S3J7, Q6XIM8, Q8WQI5, P62279, P62752, Q9NB33, Q9XYC2, Q9FJA6, Q95V32, Q803F6, O13019, P62832, Q90YT5, P31009, Q6NUH0, P48162, P60868, Q90Z10, Q7ZUG5, P46782, Q90YP3, Q9FY65, A2Q0R8, Q95WA0, Q9V3G1, Q9VXX8, P55833, Q6QN05, P47826, Q962U2, P62282, Q93572, Q5E973, Q90YX1, Q5REY2, Q9VF89, Q8JGS9, Q5UAP0, Q5R8K6, Q5REU2, P30742, A1Z9A8, Q90YS3, Q7ZWJ4, P10735, B4PEU8, O42248, Q963B6, Q07254, Q962T1, P62250, Q7ZV82, Q4R506, Q7ZUB2, O61231, Q86FP7, Q95307, Q7KF90, Q4R7Y2, P23403, P79781, Q90YW2, Q6F444, Q90YV8, Q9VFJ2, O57592, Q498P2, P36241, Q92665, P49149, Q9VMU4, O16797, P27659, P48855, P62985, A2I3Z2	596	117	5043	6.5810961968680095	5.58417307914109E-60	5.58417307914109E-60	4.8682534536101816E-60
UP_KW_MOLECULAR_FUNCTION	KW-0687~Ribonucleoprotein	108	13.584905660377359	7.464744891437849E-58	Q9QXA5, P46791, Q4GX87, O96647, Q7ZUH5, Q9BMX5, P62083, B0WN96, Q4GXH6, P22451, P62752, Q9UK45, Q803F6, Q90YT5, Q6NUH0, P48162, P60868, P46782, Q7ZUG5, A2Q0R8, Q95WA0, P55833, Q6QN05, Q962U2, Q5E973, O14036, Q5REY2, Q9VF89, Q9QXK7, Q5UAP0, A1Z9A8, P30742, Q90YS3, Q7ZWJ4, P10735, Q8VDM6, Q9UKF6, O00567, P33731, Q962T1, P62250, Q7ZV82, O61231, Q86FP7, Q95307, Q4R7Y2, P23403, P79781, Q6F444, Q9VFJ2, Q9D6Z1, Q92665, O43390, Q9N4G9, P35979, Q5R4R6, Q56FH2, Q95V31, Q9N1Q0, Q962R1, P48809, Q5R938, Q95V39, A7S3J7, Q8WQI5, Q6XIM8, P62279, Q9NB33, Q9XYC2, Q9FJA6, Q95V32, O13019, P62832, P31009, Q90Z10, Q90YP3, Q9FY65, Q9V3G1, Q9VXX8, P47826, P62282, Q93572, Q90YX1, Q8JGS9, Q5R8K6, Q5REU2, B4PEU8, O42248, Q963B6, Q07254, Q58CV6, Q4R506, Q7ZUB2, Q7KF90, Q90YW2, Q90YV8, Q7ZYQ6, P38935, O57592, Q498P2, P36241, P49149, Q9VMU4, O16797, P27659, A2I3Z2, P48855, P62985	596	174	5043	5.2519092802591985	5.822501015321522E-56	2.911250507660761E-56	2.5380132630888686E-56
GOTERM_MF_DIRECT	GO:0003735~structural constituent of ribosome	84	10.566037735849058	1.106261087308601E-57	P35979, Q56FH2, P46791, Q4GX87, O96647, Q7ZUH5, Q9BMX5, P62083, B0WN96, Q95V31, Q4GXH6, Q962R1, Q5R938, Q95V39, P22451, A7S3J7, Q6XIM8, Q8WQI5, P62279, P62752, Q9NB33, Q9XYC2, Q9FJA6, Q95V32, Q803F6, O13019, P62832, Q90YT5, P31009, Q6NUH0, P48162, P60868, Q90Z10, Q7ZUG5, P46782, Q90YP3, Q9FY65, A2Q0R8, Q95WA0, Q9V3G1, Q9VXX8, P55833, Q6QN05, P47826, Q962U2, P62282, Q93572, Q5E973, Q5REY2, Q9VF89, Q8JGS9, Q5UAP0, Q5R8K6, Q5REU2, P30742, Q90YS3, Q7ZWJ4, P10735, B4PEU8, Q963B6, Q962T1, P62250, Q7ZV82, Q4R506, Q7ZUB2, O61231, Q86FP7, Q95307, Q7KF90, Q4R7Y2, P23403, P79781, Q90YV8, Q9VFJ2, Q498P2, P36241, Q92665, P49149, Q9VMU4, O16797, P27659, P48855, P62985, A2I3Z2	725	110	6552	6.901166144200627	7.82126588727181E-55	7.82126588727181E-55	7.655326724175519E-55
GOTERM_CC_DIRECT	GO:0005840~ribosome	63	7.9245283018867925	1.2111782480050627E-43	P35979, Q92616, Q56FH2, Q4GX87, O96647, Q7ZUH5, Q9BMX5, P62083, Q95V31, Q962R1, Q5R938, Q95V39, Q8WQI5, P62279, P62752, Q9NB33, Q9XYC2, Q95V32, Q803F6, O13019, P62832, Q90YT5, Q6NUH0, Q90Z10, Q7ZUG5, P46782, Q90YP3, Q9VXX8, P55833, Q6QN05, Q962U2, P62282, Q93572, Q5E973, Q90YX1, Q5REY2, Q8JGS9, Q5UAP0, Q5R8K6, Q5REU2, A1Z9A8, Q7ZWJ4, P10735, O42248, Q07254, Q962T1, P62250, Q7ZV82, Q7ZUB2, O61231, Q95307, Q7KF90, Q4R7Y2, Q90YW2, Q6F444, O57592, Q498P2, P49149, Q9VMU4, O16797, P27659, P48855, P62985	762	80	6710	6.934547244094489	6.649368581547795E-41	6.649368581547795E-41	6.455580061866984E-41
GOTERM_BP_DIRECT	GO:0006412~translation	85	10.69182389937107	7.591210269116071E-41	P35979, Q92616, Q56FH2, P46791, Q4GX87, O96647, Q7ZUH5, P29691, Q9BMX5, P62083, B0WN96, Q95V31, Q4GXH6, Q962R1, Q5R938, Q95V39, P22451, A7S3J7, Q6XIM8, Q8WQI5, P62279, P62752, Q9NB33, Q9XYC2, Q9FJA6, Q95V32, Q803F6, O13019, P62832, Q90YT5, P31009, Q6NUH0, P48162, P60868, Q90Z10, Q7ZUG5, P46782, Q90YP3, Q9FY65, A2Q0R8, Q95WA0, Q9VXX8, P55833, Q6QN05, Q962U2, P62282, Q6DRC4, Q5E973, Q5REY2, Q9VF89, Q8JGS9, Q5UAP0, Q5R8K6, Q5REU2, Q90YS3, Q7ZWJ4, P10735, B4PEU8, Q6DRI1, Q963B6, Q962T1, P62250, Q7ZV82, Q7ZUB2, O61231, Q95307, Q7KF90, Q4R7Y2, P23403, P79781, Q9YIC0, Q90YV8, Q9VCD0, Q9VFJ2, Q91WK2, Q10039, P38935, P36241, P49149, Q9VMU4, O16797, P27659, P48855, P62985, A2I3Z2	737	153	6513	4.909543193125283	1.7345915464930222E-37	1.7345915464930222E-37	1.7285185782777294E-37
UP_KW_CELLULAR_COMPONENT	KW-0963~Cytoplasm	349	43.89937106918239	9.34318493014852E-18	Q293Y0, Q9GV27, Q14204, Q92616, Q6P1B1, P46791, Q2NKZ1, A9ETZ9, P91917, Q9PVY6, O08788, Q9D2U5, B0WN96, P17425, F1NB38, P60051, F1N9S8, Q5ZL57, P37285, A7RWP6, Q5RA77, Q99805, P22451, Q1HDZ5, P49815, P48605, Q68FS3, P50143, P54985, Q9HAV4, O76902, Q9R0Y5, P60868, Q3ZBH0, A2Q0R8, O46037, Q3B7Z2, Q3T0V9, A0A1L8EXB5, P37276, Q9XZJ4, Q55DA6, E9PVA8, Q7ZVA0, Q94901, Q68G58, Q8BK67, Q3TJ91, Q6PBD6, Q28HW9, P30742, Q7ZYV9, Q9SF16, O75369, Q80X41, Q0II91, Q9D3U0, Q66X93, Q06124, Q99471, Q684M2, Q96P70, Q9PTW9, Q94572, B9ENE7, Q91060, Q5R8D7, P19826, P61166, Q6GLP0, Q86FP7, P23403, P41516, Q54BC8, P45437, P40301, Q13148, Q9XYZ5, Q91738, Q8IWX8, P10587, Q9D6Z1, B0WAM5, Q20230, A9JR78, Q5RF02, Q3T084, P85001, P13060, P62262, Q13033, Q9YH58, Q9N4G9, Q99J83, Q5R4R6, P46471, Q14008, P29691, P38606, B0W0S3, Q9W1G0, P16258, P10160, Q8CIE6, Q04831, Q9JHR7, Q962R1, O00471, Q9Y4G6, P23228, P84589, A7S3J7, Q805F9, Q9NB32, Q4R963, P49055, Q2T9X2, Q7KZI7, Q9Y2T7, Q90Z10, Q6A0A9, Q9NYA1, Q9Z2Q4, Q90YP3, Q7TNG5, Q54TH8, Q9M888, Q5ZJF4, Q5R664, P21856, Q7PGE8, Q174R2, P17917, Q588U8, P29218, P48758, Q5ZHS1, P53621, B3NQ53, P29310, P14735, Q9WUP7, Q5ZIA5, Q6DRI1, P18422, Q5RBL1, Q24740, Q92193, Q3MIT2, Q9UBQ5, Q641G7, Q5TRE7, Q45FY6, P26039, Q9YIC0, Q6GPM1, P80313, Q4U2R1, Q5R649, Q5R648, A4IG72, Q12414, Q5XIH7, Q9V427, Q14839, P38935, O55173, Q9XSJ0, Q562A2, Q9Y5L0, P58405, O55043, O08662, O14530, P49149, Q2TBL8, Q6ZWR6, A2I3Z2, P80317, Q9JHW0, P55786, O95714, P48452, Q2T9M1, P62083, P56519, Q9VBX1, O00303, Q9PVQ1, O88618, Q3SZE9, K7IM66, Q6DEU3, Q24524, Q6P878, Q9VEN1, Q5REX3, Q5ZI74, Q803F6, Q90YT5, Q7T356, Q14974, P10768, Q7ZUG5, B4LYI3, Q2S2B6, Q28104, P35129, Q6PGW3, Q6QN05, P67777, Q96T76, Q7LHG5, P17955, Q962U2, Q9XYP7, Q99873, F1LYQ8, Q5E973, P39055, O14036, Q9NVH2, Q66HV4, Q91YP3, Q6DGG0, O94761, O08609, Q6PA72, P52174, Q8CBY8, Q24K02, O00567, P54359, P33731, Q9NUW8, Q9VZI3, Q7ZV82, Q24307, Q7ZT42, Q9VR91, Q7PVF6, P49754, P79781, P25787, Q1HPK6, P55216, Q9UPY8, Q4R6F8, Q90922, E9Q5G3, Q8R3N6, Q99PE9, Q91WK2, Q6WIT9, Q9Y697, Q10039, Q9VAH9, Q04451, Q9NQP4, B4JB43, P27619, Q9VFS6, Q2TL32, Q4R6V2, Q9VFS5, Q9BQL6, Q5FWN8, Q8N157, O43390, Q6PD31, Q5U526, Q9W445, F6S675, P62958, Q17Q06, A7MB16, Q8CGY8, Q1W376, P12613, O42820, Q5ZIK9, Q9P258, Q80WQ9, Q91YE6, P13395, Q9N1Q0, P48809, Q9VHP0, Q95V39, Q5E9K0, Q60676, P06746, Q9Y2L1, P53451, Q9FY65, Q9QZB7, P30153, O73672, Q9V3G1, O02811, Q99315, P47826, Q4LDE5, Q6DRC4, Q8JGS9, P45886, P79733, P48592, Q5MIP6, Q32P85, P50991, Q9NES8, Q9H9Q2, Q8R3C6, O42248, Q8CHY3, Q5ZJK8, Q8AVJ0, Q07254, Q58CV6, Q16851, Q27HV0, Q5T4S7, P24155, F1QH17, Q52KW8, A5PKG6, Q4R8N7, O08811, P37202, P70236, Q63486, Q6DCT2, P41386, Q9NRN7, P41383, Q00963, Q9XYN7, O13046, Q5RCW2, P23612, P27659, O16797, Q9UHV9, Q3TA59, P62985	650	2319	6080	1.4077155272498092	4.765024314375746E-16	4.765024314375746E-16	4.48472876647129E-16
GOTERM_CC_DIRECT	GO:0022626~cytosolic ribosome	22	2.767295597484277	1.5631824131992818E-17	P31009, P35979, P60868, P46782, B4PEU8, P62083, Q9V3G1, Q9VXX8, P62282, P62250, P36241, O61231, Q9VMU4, O16797, P27659, Q6XIM8, P62752, Q5R8K6, Q9FJA6, Q5REU2, P62985, P62832	762	24	6710	8.07195975503062	8.581871448464057E-15	4.290935724232028E-15	4.165881131176086E-15
GOTERM_CC_DIRECT	GO:0022625~cytosolic large ribosomal subunit	22	2.767295597484277	4.017926623297251E-16	P35979, P48162, Q90Z10, Q7ZWJ4, Q9V3G1, O57592, Q9VXX8, P47826, Q7ZV82, Q93572, P36241, Q4R506, Q5E973, O61231, Q95307, Q9VMU4, Q4R7Y2, P22451, O16797, P27659, P62752, P62832	762	26	6710	7.451039773874419	2.438049762076844E-13	7.352805720633969E-14	7.138516300724782E-14
GOTERM_CC_DIRECT	GO:0022627~cytosolic small ribosomal subunit	20	2.515723270440252	9.674429125791155E-16	P30742, P31009, P60868, Q7ZUG5, P46782, Q9FY65, Q90YP3, A2Q0R8, P62083, B0WN96, P62282, P62250, Q86FP7, Q5R938, A7S3J7, P79781, P62279, Q9FJA6, A2I3Z2, Q803F6	762	22	6710	8.005249343832022	5.485611964672898E-13	1.3278153975148361E-13	1.2891176810116715E-13
GOTERM_MF_DIRECT	GO:0003723~RNA binding	114	14.339622641509434	2.429864923873575E-13	Q14204, Q9QXA5, Q92616, P46791, Q24134, Q9VE51, A1Z9L3, Q5REX3, Q9UK45, Q5ZI74, Q9GZR7, Q6NV83, Q14974, Q9HAV4, P60868, P46782, Q95WA0, Q9V3C0, Q7LHG5, Q99873, Q5E973, Q94901, Q9QXK7, Q90YS3, O75369, Q8WN55, Q9D3U0, Q66X93, Q8VDM6, Q5RKI1, P51400, Q9UKF6, O00567, F4JRJ6, B9ENE7, P62250, Q7ZT42, P23403, Q9VM71, Q9VR99, Q13148, O95985, Q8R3N6, Q8IWX8, Q9D6Z1, P51532, Q24562, Q92665, Q5RE65, O43390, Q15459, Q9N4G9, Q9W445, Q5U526, Q9H0A0, P35979, A7MB16, Q9V9Z9, Q9P258, Q80WQ9, Q96AG4, P48809, Q9VHP0, Q5F3D1, Q9FJA6, Q7KZI7, Q9Y2T7, P31009, Q60676, Q90Z10, Q9Y2L1, Q6A0A9, P03359, Q9FY65, Q9Y113, Q96J01, Q9V3G1, Q9VXX8, B2KI97, Q99315, Q9UKA9, Q6DRC4, A9URZ4, Q8JGS9, P50991, P12956, Q8R3C6, P0CT40, Q963B6, Q4R506, Q3MIT2, Q9BUQ8, Q9UBQ5, O15213, Q6GPM1, Q90YV8, Q12414, P38935, P37202, O57592, Q9UR07, P63155, Q9VSH4, P36241, Q5RCW2, O16797, P27659, Q9BZJ0, O14776, Q8C4Y3, P24785	725	524	6552	1.9661173993156094	1.7182066880394586E-10	8.589572505893088E-11	8.40733263660257E-11
