Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
INTERPRO	IPR002194:Chaperonin TCP-1, conserved site	12	5.607476635514018	1.0604493747648782E-10	Q2T9X2, P50143, Q9SF16, Q3T084, Q54TH8, Q2NKZ1, Q4R6V2, Q9NB32, Q4R963, Q9M888, P48605, P80317	210	27	7030	14.878306878306878	5.3870833460756273E-8	2.6935414119027904E-8	2.576891980678654E-8
INTERPRO	IPR017998:Chaperone tailless complex polypeptide 1 (TCP-1)	12	5.607476635514018	1.0604493747648782E-10	Q2T9X2, P50143, Q9SF16, Q3T084, Q54TH8, Q2NKZ1, Q4R6V2, Q9NB32, Q4R963, Q9M888, P48605, P80317	210	27	7030	14.878306878306878	5.3870833460756273E-8	2.6935414119027904E-8	2.576891980678654E-8
INTERPRO	IPR027413:GroEL-like equatorial domain	12	5.607476635514018	2.670493082468693E-10	Q2T9X2, P50143, Q9SF16, Q3T084, Q54TH8, Q2NKZ1, Q4R6V2, Q9NB32, Q4R963, Q9M888, P48605, P80317	210	29	7030	13.852216748768473	1.3566102075035502E-7	4.52203495298032E-8	4.326198793599282E-8
INTERPRO	IPR027410:TCP-1-like chaperonin intermediate domain	12	5.607476635514018	6.202419227680996E-10	Q2T9X2, P50143, Q9SF16, Q3T084, Q54TH8, Q2NKZ1, Q4R6V2, Q9NB32, Q4R963, Q9M888, P48605, P80317	210	31	7030	12.95852534562212	3.150828706832698E-7	7.795439058446926E-8	7.457841303947255E-8
INTERPRO	IPR027409:GroEL-like apical domain	12	5.607476635514018	9.207211486354636E-10	Q2T9X2, P50143, Q9SF16, Q3T084, Q54TH8, Q2NKZ1, Q4R6V2, Q9NB32, Q4R963, Q9M888, P48605, P80317	210	32	7030	12.553571428571427	4.6772624318069944E-7	7.795439058446926E-8	7.457841303947255E-8
INTERPRO	IPR002423:Chaperonin Cpn60/TCP-1	12	5.607476635514018	9.207211486354636E-10	Q2T9X2, P50143, Q9SF16, Q3T084, Q54TH8, Q2NKZ1, Q4R6V2, Q9NB32, Q4R963, Q9M888, P48605, P80317	210	32	7030	12.553571428571427	4.6772624318069944E-7	7.795439058446926E-8	7.457841303947255E-8
UP_SEQ_FEATURE	NP_BIND:NAD	16	7.476635514018691	5.417885739340096E-9	P54385, Q02253, P51659, P56649, Q27640, P37227, Q04820, O88989, Q7YRU4, P0C2X9, P82013, A7YWE4, P20000, O17953, Q6DIY9, P09623	200	79	6857	6.94379746835443	3.5595445764258216E-6	3.5595509307464434E-6	3.4674468731776615E-6
GOTERM_CC_DIRECT	GO:0005832~chaperonin-containing T-complex	10	4.672897196261682	9.121068870762803E-9	Q2T9X2, Q9SF16, Q3T084, Q54TH8, Q2NKZ1, Q4R6V2, Q4R963, Q9M888, P48605, P80317	192	24	6716	14.574652777777779	1.7512437033850858E-6	1.7512452231864583E-6	1.6509134656080674E-6
UP_SEQ_FEATURE	BINDING:NAD	14	6.5420560747663545	1.0912800807468725E-8	P54385, Q02253, P51659, P56649, P37227, Q04820, O88989, Q7YRU4, P0C2X9, A7YWE4, P20000, O17953, Q6DIY9, P09623	200	60	6857	7.999833333333335	7.169684445473834E-6	3.5848550652534764E-6	3.4920962583899924E-6
UP_KW_LIGAND	KW-0520~NAD	19	8.878504672897195	2.075504675739748E-7	P54385, Q02253, P51659, P56649, Q27640, Q9VZU4, P37227, Q91VD9, Q04820, O88989, Q7YRU4, P0C2X9, P82013, A7YWE4, P20000, O17953, Q6DIY9, P09623, P22985	110	146	3613	4.274408468244085	7.056691731843756E-6	7.0567158975151435E-6	7.0567158975151435E-6
