Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_MF_DIRECT	GO:0003964~RNA-directed DNA polymerase activity	44	4.994324631101021	1.6389589192496477E-21	P23074, Q2F7J0, P10978, P0CT40, P11369, P31795, Q95SX7, P21329, Q8I7P9, P21328, P15594, O00370, P0CT43, Q9ZT94, Q9NBX4, P05895, P04323, P03356, Q94HW2, P08548, P10401, P16423, Q9UR07, P0CT39, Q99315, P10272, Q7LHG5, P10394, P21414, P17757, P10273, P14350, P20825, P03360, P24107, Q87040, O92815	837	71	6552	4.851128275026503	1.760241879274122E-18	1.760241879274122E-18	1.7323795776468776E-18
GOTERM_MF_DIRECT	GO:0004190~aspartic-type endopeptidase activity	36	4.0862656072644725	1.154257298155771E-17	P23074, Q2F7J0, P10978, P0CT40, P0CT43, Q9ZT94, P05895, P04323, P03356, Q94HW2, Q03168, P16423, Q9UR07, P0CT39, Q99315, P10272, Q7LHG5, P10394, P21414, P17757, P10273, P14350, P20825, Q21966, P03360, P24107, Q87040, P42574, O92815	837	58	6552	4.858731924360401	1.239672338219298E-14	6.19836169109649E-15	6.10024982075325E-15
GOTERM_MF_DIRECT	GO:0004519~endonuclease activity	29	3.2917139614074915	1.7711451044241106E-10	P04323, Q94HW2, P54279, Q8R418, Q9GZR2, P03934, P10978, P10401, P0CT40, P11369, P16423, Q9UR07, P0CT39, Q99315, Q8I7P9, A9ZSZ2, Q7LHG5, P10394, P0CT43, P20825, Q9ZT94, Q5HZJ0	837	61	6552	3.721487748986427	1.9022100350429838E-7	6.340699473838316E-8	6.240334584587617E-8
GOTERM_MF_DIRECT	GO:0003887~DNA-directed DNA polymerase activity	31	3.5187287173666286	3.20670315664513E-10	P23074, P03356, Q2F7J0, P0CT40, Q8H2D5, Q6P1E7, Q9UR07, P0CT39, Q99315, Q9DE46, P10272, Q7LHG5, P21414, P17757, P10273, P14350, Q27607, P0CT43, P03360, P24107, Q87040, Q9WVF7, O92815, P05895	837	70	6552	3.4666666666666663	3.443998086716249E-7	8.609997975592174E-8	8.473713091434756E-8
GOTERM_MF_DIRECT	GO:0005506~iron ion binding	26	2.9511918274687856	5.010461203138328E-7	Q9V774, O42563, Q98T91, Q27712, Q964T2, Q9VB31, Q964R0, P08684, Q64459, Q9C102, P29981, P47990, Q9VTH0, Q9LV03, B7PRF6, Q27593, P80193, A0JPQ8, Q2KIG5, Q9MYW6, Q64581, Q9GKT2, P47787, Q9VA27, Q4V8T0, P22985	837	69	6552	2.9496649524700014	5.379789053988615E-4	1.0762470664341128E-4	1.0592114983434425E-4
GOTERM_MF_DIRECT	GO:0016491~oxidoreductase activity	45	5.10783200908059	2.0885052793089034E-6	A5PLL7, P54115, Q6P5L8, Q99LB7, P52713, P51649, Q99K67, Q9DBT9, Q00796, Q58D31, P34275, P08684, Q9ZDH5, Q91XV4, A8DZE7, Q9WU20, Q64459, Q6PHW0, P97275, Q9C102, E9Q3E1, Q8K009, P30837, P51174, P47990, Q9EQR2, Q9LV03, P51659, P10787, Q3TY86, Q3T0R4, Q17QH8, Q9GZE9, Q9MYW6, Q64380, Q9GKT2, Q5ZL21, Q9CY27, A5JYX5, Q9Z110, Q99LC5, Q4V8T0, Q8BMS1, P22985, Q68FT3	837	170	6552	2.0721062618595822	0.00224054323974221	3.562481226629236E-4	3.506091858982404E-4
GOTERM_MF_DIRECT	GO:0042626~ATPase activity, coupled to transmembrane movement of substances	20	2.2701475595913734	2.556329789619844E-6	Q8VI47, Q5F364, P34712, B2RX12, P21439, P16970, Q28689, Q56A55, P10090, Q8R420, Q7JUN3, Q54W24, Q8WWZ4, P78363, P06795, Q17320, Q80WJ6, Q92887, Q99758, D3ZHR2	837	48	6552	3.2616487455197136	0.002741736260261751	3.562481226629236E-4	3.506091858982404E-4
GOTERM_MF_DIRECT	GO:0020037~heme binding	23	2.6106696935300793	2.6536173010273637E-6	Q64459, P29981, Q9V774, O42563, Q9V4N3, Q9VWP4, P35520, Q98T91, Q27593, O62839, Q27712, Q9VB31, Q2KIG5, Q964R0, Q964T2, Q64581, P08684, P04040, P47787, Q9VA27, O54865, P04762	837	61	6552	2.9515247664375113	0.0028459314000940372	3.562481226629236E-4	3.506091858982404E-4
GOTERM_MF_DIRECT	GO:0016620~oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor	9	1.0215664018161181	7.874104275021492E-6	P54115, Q6GNL7, E9Q3E1, Q8K009, P30837, P0C2X9, P52713, P51649, Q9Z110	837	11	6552	6.4046920821114375	0.008421162962749973	9.396431101525647E-4	9.247698020775241E-4
GOTERM_MF_DIRECT	GO:0004523~RNA-DNA hybrid ribonuclease activity	17	1.9296254256526675	1.9679666386523798E-5	P23074, Q2F7J0, P03356, P11369, P31795, Q99315, P10272, P21414, P17757, Q7LHG5, P10273, P14350, P24107, P03360, Q87040, O92815, P05895	837	41	6552	3.2457382638342507	0.020914366281823082	0.002113596169912656	0.0020801407370555653
GOTERM_MF_DIRECT	GO:0008559~xenobiotic-transporting ATPase activity	9	1.0215664018161181	1.9120343004299615E-4	B2RX12, Q28689, Q8R420, Q8VI47, Q5F364, P06795, P34712, Q92887, Q99758	837	15	6552	4.6967741935483875	0.1856557724637371	0.018668407624197986	0.01837291141413154
GOTERM_MF_DIRECT	GO:0016705~oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen	10	1.1350737797956867	2.4005003732565524E-4	Q64459, Q9VB31, Q2KIG5, Q964T2, Q964R0, Q9V774, P08684, P47787, Q27593, Q9VA27	837	19	6552	4.119977362761743	0.22728476614434545	0.020893162029043285	0.02056245089822975
GOTERM_MF_DIRECT	GO:0004046~aminoacylase activity	7	0.7945516458569807	2.528967470927027E-4	Q6PTT0, Q55DP8, Q03154, P04040, Q08BT9, O62839, P04762	837	9	6552	6.088410991636797	0.23787558088964056	0.020893162029043285	0.02056245089822975
GOTERM_MF_DIRECT	GO:0003824~catalytic activity	32	3.6322360953461974	2.903721888284325E-4	P49583, Q6NV04, Q5VT66, Q811Q9, Q99K67, F1NB38, P57093, O61856, P13196, P14381, Q96DC8, Q9Y194, P55216, Q54K67, Q9WU20, P40939, Q8K009, O02751, Q64674, Q7SY54, P16425, Q2HJD5, Q17QH8, Q99315, P42357, A4IGH2, Q5RC69, Q7LHG5, Q588U8, Q9Z110, Q9QXE0, Q8BMS1	837	129	6552	1.9418187880303408	0.26794894286211723	0.02227569505726689	0.021923100256546653
GOTERM_MF_DIRECT	GO:0004497~monooxygenase activity	10	1.1350737797956867	3.8744114112747503E-4	Q64459, Q9VB31, Q2KIG5, Q964T2, Q964R0, Q9V774, P08684, P47787, Q27593, Q9VA27	837	20	6552	3.913978494623656	0.34044665021827325	0.02774078570472721	0.02730168574478274
GOTERM_MF_DIRECT	GO:0004300~enoyl-CoA hydratase activity	7	0.7945516458569807	5.640375456657883E-4	P40939, P97852, P51659, Q8BMS1, Q96DC8, Q2HJD5, F1NB38	837	10	6552	5.479569892473118	0.45444258577617413	0.037861020252816034	0.037261730360546134
GOTERM_MF_DIRECT	GO:0050660~flavin adenine dinucleotide binding	22	2.4971623155505105	6.669605307300312E-4	Q9WU20, P97275, Q9C102, P08503, Q9H845, Q99LB7, Q6NV04, P51174, P47990, Q9LV03, Q3TY86, Q7KML2, Q9DBT9, Q923Z3, O61856, Q99424, Q9MYW6, P34275, Q64380, Q8HXY8, Q99LC5, P22985	837	79	6552	2.179937389410644	0.5115677922038354	0.04213621235317962	0.041469251822449586
GOTERM_MF_DIRECT	GO:0070330~aromatase activity	7	0.7945516458569807	0.001107368710874352	Q27712, Q64459, P29981, Q64581, O42563, P08684, Q98T91	837	11	6552	4.981427174975561	0.6957705177638109	0.06607299974883633	0.06502715152189945
GOTERM_MF_DIRECT	GO:0004029~aldehyde dehydrogenase (NAD) activity	8	0.9080590238365494	0.0013634551533486044	P54115, E9Q3E1, Q8K009, P30837, P0C2X9, A3RF36, Q63ZT8, Q27640	837	15	6552	4.174910394265233	0.7690028789177688	0.07321754173482006	0.07205860485447374
GOTERM_MF_DIRECT	GO:0000062~fatty-acyl-CoA binding	8	0.9080590238365494	0.0013634551533486044	P08503, Q9H845, P40939, P32020, P51174, Q02253, P52713, Q8BMS1	837	15	6552	4.174910394265233	0.7690028789177688	0.07321754173482006	0.07205860485447374
GOTERM_MF_DIRECT	GO:0039660~structural constituent of virion	6	0.681044267877412	0.0027027093163220937	P03356, Q2F7J0, P10272, P21414, P10273, O92815	837	9	6552	5.218637992831541	0.9453408953109155	0.13822427646332994	0.1360363689215454
GOTERM_MF_DIRECT	GO:0030170~pyridoxal phosphate binding	17	1.9296254256526675	0.003902432181720819	P55216, Q28F67, Q6DEB1, P15505, Q5VT66, P35520, Q7SY54, P13196, A6QLI6, Q96EN8, A6QM00, Q8CHN6, Q96GA7, P22781, Q28D99, Q9Y194	837	62	6552	2.1463753035032953	0.9849955951182359	0.19050964378037089	0.1874941280035866
GOTERM_MF_DIRECT	GO:0071949~FAD binding	12	1.362088535754824	0.005019710035017348	Q9WU20, P97275, Q99424, Q9MYW6, Q6F6A2, P84850, P47990, Q9EQR2, Q5ZL21, Q8QG61, Q7KML2, P22985	837	37	6552	2.5387968613775067	0.9955047998355303	0.22936983265686056	0.22573921146955458
GOTERM_MF_DIRECT	GO:0004806~triglyceride lipase activity	7	0.7945516458569807	0.005125582852667275	Q64425, P0C548, P50903, Q9CPP7, Q64285, O46108, Q91WW7	837	14	6552	3.9139784946236555	0.995990273426384	0.22936983265686056	0.22573921146955458
GOTERM_MF_DIRECT	GO:0042803~protein homodimerization activity	46	5.2213393870601585	0.005670869963150957	Q2KJ63, Q2KHU0, Q14108, P15505, Q03013, Q9HAB8, P19971, Q148K5, O75581, Q9DC37, P15693, Q99424, P58780, Q7KRI2, Q5ZIT9, P04040, Q9IA05, Q99728, P20136, Q9NZK5, Q96PM5, P04762, Q1JPJ2, O19015, P97852, P47990, Q09326, P35520, P51659, P11413, O62839, Q7KML2, Q64674, O61307, P16970, Q5RBM6, Q7SXN5, O54697, Q5ZL21, Q5HZJ0, P22985, P05661, Q9R1A9, B7SBD2, D3ZHR2	837	243	6552	1.4818354794459931	0.9977746680079717	0.2436205736169651	0.23976438204202247
GOTERM_MF_DIRECT	GO:0008270~zinc ion binding	69	7.832009080590238	0.006241930367401101	Q2F7J0, P81431, Q5SVZ6, P11369, Q9LDD8, Q09575, Q00796, P15693, Q96JM7, P58780, A4II20, Q04519, P05895, Q9NZK5, Q96PM5, Q91V76, P03356, P53610, P55115, P11415, B4K4Y6, Q9JHE3, Q99315, P21414, Q7LHG5, P17757, O54697, Q3TIX9, P84850, Q2KIG3, Q0P3Z2, O92815, Q7ZW16, O70157, P10978, Q9VHA0, P97449, P59889, A2AN08, Q0VD19, Q6Z6L4, Q58D31, Q6QQT1, P09470, Q9WVF7, Q5R5F3, P04069, Q10751, B3S866, Q4U2R1, P31429, O75312, Q5I597, Q6P8K8, Q6P1E7, Q5RC69, P10272, Q95334, P10273, P91885, Q6TLF6, Q08603, Q0KI50, P79098, P24107, P43166, P07584, Q13233, Q13472	837	398	6552	1.3571081212514184	0.9987992910662643	0.2512230695285635	0.2472465404950574
GOTERM_MF_DIRECT	GO:0072341~modified amino acid binding	5	0.5675368898978433	0.00669412402579667	O60678, Q9WU20, P31429, P35520	837	7	6552	5.591397849462365	0.9992635438057366	0.2512230695285635	0.2472465404950574
GOTERM_MF_DIRECT	GO:0016798~hydrolase activity, acting on glycosyl bonds	8	0.9080590238365494	0.006738336688185275	Q54K67, Q0VD19, Q17058, O00462, Q8K2I4, Q69ZQ1, Q04519, Q9USY1	837	19	6552	3.295981890209394	0.999297922158012	0.2512230695285635	0.2472465404950574
GOTERM_MF_DIRECT	GO:0004556~alpha-amylase activity	4	0.4540295119182747	0.007492976896231395	P04746, P00688, O97396, H2N0D4	837	4	6552	7.827956989247311	0.9996896340121179	0.2512230695285635	0.2472465404950574
GOTERM_MF_DIRECT	GO:0036042~long-chain fatty acyl-CoA binding	4	0.4540295119182747	0.007492976896231395	O62742, P32020, Q07598, Q91WW7	837	4	6552	7.827956989247311	0.9996896340121179	0.2512230695285635	0.2472465404950574
GOTERM_MF_DIRECT	GO:0016508~long-chain-enoyl-CoA hydratase activity	4	0.4540295119182747	0.007492976896231395	P40939, P97852, P51659, Q8BMS1	837	4	6552	7.827956989247311	0.9996896340121179	0.2512230695285635	0.2472465404950574
GOTERM_MF_DIRECT	GO:0004567~beta-mannosidase activity	4	0.4540295119182747	0.007492976896231395	O00462, Q8K2I4, Q29444, Q95327	837	4	6552	7.827956989247311	0.9996896340121179	0.2512230695285635	0.2472465404950574
GOTERM_MF_DIRECT	GO:0031404~chloride ion binding	6	0.681044267877412	0.007953058067012252	Q10751, P04746, P09470, P80067, P00688, P53634	837	11	6552	4.269794721407624	0.9998113715576897	0.2512230695285635	0.2472465404950574
GOTERM_MF_DIRECT	GO:0043546~molybdopterin cofactor binding	6	0.681044267877412	0.007953058067012252	Q9MYW6, Q9PW38, P47990, Q5VT66, Q9VWP4, P22985	837	11	6552	4.269794721407624	0.9998113715576897	0.2512230695285635	0.2472465404950574
GOTERM_MF_DIRECT	GO:0003988~acetyl-CoA C-acyltransferase activity	5	0.5675368898978433	0.012046545718226795	P40939, O62742, P32020, Q07598, Q8BMS1	837	8	6552	4.89247311827957	0.9999977767727602	0.3646115238306165	0.35884020548320456
GOTERM_MF_DIRECT	GO:0005319~lipid transporter activity	6	0.681044267877412	0.012221615323931281	Q8R420, Q8WWZ4, Q9U943, P78363, O15118, Q99758	837	12	6552	3.913978494623656	0.9999981620964201	0.3646115238306165	0.35884020548320456
GOTERM_MF_DIRECT	GO:0003987~acetate-CoA ligase activity	4	0.4540295119182747	0.016957790366542488	Q9W0S9, Q5REB8, Q9NR19, Q99NB1	837	5	6552	6.262365591397849	0.9999999894681142	0.41392424667424166	0.40737237312353203
GOTERM_MF_DIRECT	GO:0003997~acyl-CoA oxidase activity	4	0.4540295119182747	0.016957790366542488	Q99424, P52826, P43155, Q7KML2	837	5	6552	6.262365591397849	0.9999999894681142	0.41392424667424166	0.40737237312353203
GOTERM_MF_DIRECT	GO:0005332~gamma-aminobutyric acid:sodium symporter activity	4	0.4540295119182747	0.016957790366542488	P31646, A5PJX7, P30531, Q9NSD5	837	5	6552	6.262365591397849	0.9999999894681142	0.41392424667424166	0.40737237312353203
GOTERM_MF_DIRECT	GO:0004022~alcohol dehydrogenase (NAD) activity	4	0.4540295119182747	0.016957790366542488	A6QP15, P81431, A5JYX5, Q7Q547	837	5	6552	6.262365591397849	0.9999999894681142	0.41392424667424166	0.40737237312353203
GOTERM_MF_DIRECT	GO:0030151~molybdenum ion binding	4	0.4540295119182747	0.016957790366542488	Q96EN8, P47990, Q5VT66, Q9VWP4	837	5	6552	6.262365591397849	0.9999999894681142	0.41392424667424166	0.40737237312353203
GOTERM_MF_DIRECT	GO:0016505~peptidase activator activity involved in apoptotic process	4	0.4540295119182747	0.016957790366542488	P80067, Q3ZCJ8, P53634, Q5RB02	837	5	6552	6.262365591397849	0.9999999894681142	0.41392424667424166	0.40737237312353203
GOTERM_MF_DIRECT	GO:0005324~long-chain fatty acid transporter activity	4	0.4540295119182747	0.016957790366542488	P16970, Q7JUN3, Q6PCB7, D3ZHR2	837	5	6552	6.262365591397849	0.9999999894681142	0.41392424667424166	0.40737237312353203
GOTERM_MF_DIRECT	GO:0050421~nitrite reductase (NO-forming) activity	4	0.4540295119182747	0.016957790366542488	Q5VT66, P35520, P22985	837	5	6552	6.262365591397849	0.9999999894681142	0.41392424667424166	0.40737237312353203
GOTERM_MF_DIRECT	GO:0016746~transferase activity, transferring acyl groups	13	1.4755959137343928	0.01776500665556644	F1QGD2, O00330, P52826, Q8CIB9, Q5U3U3, P50416, Q8VCM4, P32020, P43155, Q3UDW8, Q3UG98, Q91WW7, Q68CP4	837	49	6552	2.0768049155145927	0.999999995641449	0.41584532543725816	0.4092630437497038
GOTERM_MF_DIRECT	GO:0005542~folic acid binding	6	0.681044267877412	0.017810879860441223	Q9DBT9, Q6DCX5, Q9QXF8, Q64380, Q99LB7, P80405	837	13	6552	3.612903225806452	0.9999999958546817	0.41584532543725816	0.4092630437497038
GOTERM_MF_DIRECT	GO:0016790~thiolester hydrolase activity	5	0.5675368898978433	0.019521614839683274	Q5FVR5, Q86TX2, Q02253, Q9W3C7, P50897	837	9	6552	4.348864994026284	0.9999999993625622	0.44608966676212414	0.43902865713926004
GOTERM_MF_DIRECT	GO:0016829~lyase activity	13	1.4755959137343928	0.020751368726370394	P55216, Q6NV04, P28271, P15505, Q7SY54, O61856, Q96EN8, Q08BT9, Q9UJ83, O54865, Q9QXE0, Q8BMS1, Q9Y194	837	50	6552	2.035268817204301	0.9999999998344027	0.46431187525253753	0.45696243216194804
GOTERM_MF_DIRECT	GO:0042802~identical protein binding	74	8.39954597048808	0.024361268564400185	Q9D0M1, P80067, Q969H0, Q9EP89, Q03154, Q804T6, Q9HAB8, Q9JLN9, Q5R495, P50416, Q7Z589, D3ZW55, O75581, P42346, Q00796, P13196, Q96JM7, P0C2X9, Q7TPD3, Q9EP80, P04040, O89026, Q8R146, O30511, P04762, Q9QXF8, P29144, Q8WZ19, P11415, P35520, P11413, O75132, Q64674, P10760, O61307, Q5ZJF4, Q6PTT0, Q9PW38, P32020, Q9Z254, Q6PCB7, P22985, P42575, Q06609, Q98943, D3ZHR2, Q91XJ1, Q9VHA0, P51649, Q811Q9, Q1KKT4, Q58D31, Q58CZ0, Q96GA7, Q8K3X3, Q9UJ83, P20136, Q92878, Q91XV4, P08503, Q3ZCL5, Q14558, P97852, P51174, P30531, Q2KJC6, P53634, Q5RC69, Q9HCK4, A6QLI6, P14350, Q9Z110, Q9QXE0	837	459	6552	1.2620235668939022	0.9999999999968636	0.5339592334319551	0.5255073647463469
