id,gene_ontology_i_ds
evm.TU.HiC_scaffold_60.110,GO:0000122; GO:0000977; GO:0000978; GO:0004879; GO:0005634; GO:0006357; GO:0007552; GO:0008270; GO:0016319; GO:0040034; GO:0045944
evm.TU.HiC_scaffold_102.215,GO:0000118; GO:0000122; GO:0000776; GO:0000785; GO:0001701; GO:0002218; GO:0002230; GO:0002244; GO:0003677; GO:0003682; GO:0003713; GO:0003714; GO:0003723; GO:0005634; GO:0005654; GO:0005667; GO:0005730; GO:0006260; GO:0006355; GO:0006476; GO:0007568; GO:0010243; GO:0010817; GO:0010971; GO:0016575; GO:0016580; GO:0017053; GO:0021895; GO:0030516; GO:0031937; GO:0032991; GO:0034613; GO:0042754; GO:0043066; GO:0043619; GO:0044877; GO:0045666; GO:0045892; GO:0045944; GO:0048511; GO:0051595; GO:0061629; GO:0071333; GO:0140416; GO:1900181; GO:1901675; GO:1903351; GO:2000678
evm.TU.HiC_scaffold_69.345,GO:0003964; GO:0006313
evm.TU.HiC_scaffold_29.9,GO:0000978; GO:0000981; GO:0005634; GO:0006355; GO:0046872
evm.TU.HiC_scaffold_82.25,GO:0000122; GO:0000978; GO:0000981; GO:0003677; GO:0005634; GO:0006355; GO:0009653; GO:0009953; GO:0030154; GO:0043565; GO:0045892; GO:0048545
evm.TU.HiC_scaffold_102.11,GO:0003964; GO:0006313
evm.TU.HiC_scaffold_54.143,GO:0003964; GO:0006313
evm.TU.HiC_scaffold_80.7,GO:0003964; GO:0046872
evm.TU.HiC_scaffold_84.388,GO:0000111; GO:0003684; GO:0003697; GO:0005634; GO:0005737; GO:0005829; GO:0006289; GO:0006298; GO:0010777; GO:0071942
evm.TU.HiC_scaffold_38.138,GO:0003964
evm.TU.HiC_scaffold_82.207,GO:0003964; GO:0006313
evm.TU.HiC_scaffold_49.65,GO:0003964
evm.TU.HiC_scaffold_49.275,GO:0003964; GO:0006313
evm.TU.HiC_scaffold_90.61,GO:0016980
evm.TU.HiC_scaffold_58.167,GO:0003964; GO:0006313
evm.TU.HiC_scaffold_1.88,GO:0003964; GO:0006313
evm.TU.HiC_scaffold_60.362,GO:0003677; GO:0005634
evm.TU.HiC_scaffold_84.131,GO:0003677; GO:0005634; GO:0007049; GO:0008284; GO:0033674; GO:0043066; GO:0045648; GO:0045654; GO:0046872; GO:0051301; GO:0051781; GO:0072707; GO:1901989
