Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
INTERPRO	IPR005135:Endonuclease/exonuclease/phosphatase	8	9.876543209876543	4.213694932786669E-9	Q95SX7, P21329, P21328, P08548, O00370, O02751, Q9NBX4, P11369	81	23	6979	29.96886741814278	1.0154999691147637E-6	1.0155004788015874E-6	1.007073088936014E-6
UP_SEQ_FEATURE	DOMAIN:Reverse transcriptase	8	9.876543209876543	6.07699634806902E-6	Q95SX7, P21329, P21328, P08548, O00370, Q9NBX4, P11369, Q09575	77	64	6811	11.056818181818183	0.0022520328560289293	0.0022545656451336063	0.0022545656451336063
INTERPRO	IPR000477:Reverse transcriptase	8	9.876543209876543	8.132468071510524E-6	Q95SX7, P21329, P21328, P08548, O00370, Q9NBX4, P11369, Q09575	81	65	6979	10.604368471035137	0.0019580133607305372	9.79962402617018E-4	9.718299345455076E-4
GOTERM_MF_DIRECT	GO:0003964~RNA-directed DNA polymerase activity	7	8.641975308641975	1.4601201885253E-4	Q95SX7, P21329, P21328, P08548, O00370, Q9NBX4, P11369	76	71	6552	8.499629355077834	0.024803120716813787	0.02511406724263516	0.02511406724263516
UP_KW_MOLECULAR_FUNCTION	KW-0695~RNA-directed DNA polymerase	7	8.641975308641975	1.7520586614052755E-4	Q95SX7, P21329, P21328, P08548, O00370, Q9NBX4, P11369	62	70	5043	8.133870967741936	0.007853950029785728	0.00788426397632374	0.00788426397632374
UP_SEQ_FEATURE	DOMAIN:Ig_mannosidase	3	3.7037037037037033	7.266989791560603E-4	O00462, Q29444, Q95327	77	4	6811	66.3409090909091	0.23639400004813071	0.06740133031672459	0.06740133031672459
UP_SEQ_FEATURE	DOMAIN:DUF1725	3	3.7037037037037033	7.266989791560603E-4	P08548, O00370, P11369	77	4	6811	66.3409090909091	0.23639400004813071	0.06740133031672459	0.06740133031672459
UP_SEQ_FEATURE	DOMAIN:Mannosidase_ig	3	3.7037037037037033	7.266989791560603E-4	O00462, Q29444, Q95327	77	4	6811	66.3409090909091	0.23639400004813071	0.06740133031672459	0.06740133031672459
GOTERM_MF_DIRECT	GO:0004567~beta-mannosidase activity	3	3.7037037037037033	7.643419280091941E-4	O00462, Q29444, Q95327	76	4	6552	64.6578947368421	0.12323570015255447	0.0657334058087907	0.0657334058087907
UP_SEQ_FEATURE	DOMAIN:Glyco_hydro_2_C	3	3.7037037037037033	0.0012024037965953952	O00462, Q29444, Q95327	77	5	6811	53.07272727272727	0.36004679017906216	0.08921836170737833	0.08921836170737833
